id,Treatment,Date,CO2,N2O,CH4
603,Synchro,3/27/2023,2.799964682,5.78696294,0.000996684
104,Control,4/3/2023,18.13833987,1.772316378,0.000846985
202,Control,4/3/2023,30.87279895,4.042707229,0.006127425
302,Control,4/3/2023,30.87279895,4.042707229,0.006127425
404,Control,4/3/2023,18.13833987,1.772316378,0.000846985
501,Control,4/3/2023,27.31259291,-6.224095618,-0.000444508
604,Control,4/3/2023,18.13833987,1.772316378,0.000846985
104,Control,4/10/2023,18.92587012,-0.129490995,-0.00214461
202,Control,4/10/2023,4.506950246,-1.480921708,-0.003729956
302,Control,4/10/2023,28.8660675,2.218970637,-0.002896746
404,Control,4/10/2023,6.139415067,-1.710258429,9.87E-05
501,Control,4/10/2023,11.39712834,-0.590802826,-0.002969118
604,Control,4/10/2023,14.06453126,4.368488674,-0.002586365
104,Control,4/17/2023,7.459714281,-1.302239633,-0.001332669
202,Control,4/17/2023,9.480251239,-1.678699525,-0.002640936
302,Control,4/17/2023,30.08934868,-1.835474625,-0.002287674
404,Control,4/17/2023,8.210002893,1.522130002,-0.000779858
501,Control,4/17/2023,17.1672107,0.843656711,-0.001593844
604,Control,4/17/2023,25.01067993,0.431962415,-0.001770969
104,Control,4/25/2023,18.50073933,1.184057285,0.000646873
202,Control,4/25/2023,14.90045193,-0.832113989,0.001493444
302,Control,4/25/2023,36.79165811,-9.243459858,0.001450566
404,Control,4/25/2023,26.63825827,5.710797218,0.001495057
501,Control,4/25/2023,12.41712234,6.199782745,-0.001660152
604,Control,4/25/2023,26.96698099,5.196253754,-0.002034048
103,DAP,4/3/2023,34.98699251,0.573362688,-0.004969951
201,DAP,4/3/2023,27.31259291,-6.224095618,-0.000444508
303,DAP,4/3/2023,34.98699251,0.573362688,-0.004969951
401,DAP,4/3/2023,27.31259291,-6.224095618,-0.000444508
502,DAP,4/3/2023,30.87279895,4.042707229,0.006127425
602,DAP,4/3/2023,30.87279895,4.042707229,0.006127425
103,DAP,4/10/2023,29.22080518,3.802758791,-0.001393493
201,DAP,4/10/2023,8.888180301,4.706972311,0.002593373
303,DAP,4/10/2023,15.40885229,0.523103704,-0.001292477
401,DAP,4/10/2023,27.20774701,-0.85338186,-0.004801179
502,DAP,4/10/2023,11.22372936,0.127832004,-0.001508062
602,DAP,4/10/2023,52.78041992,2.544580459,0.003951658
103,DAP,4/17/2023,29.64859477,-1.128262891,-0.002968295
201,DAP,4/17/2023,2.977670865,-1.13784248,-0.000869369
303,DAP,4/17/2023,11.25240299,0.751320516,-0.003468191
401,DAP,4/17/2023,3.758559297,0.724523631,-0.000390479
502,DAP,4/17/2023,6.636840049,0.766992024,-0.001223016
602,DAP,4/17/2023,41.05700645,2.677121458,0.011214811
103,DAP,4/25/2023,35.96778566,-4.993588988,-0.000673435
201,DAP,4/25/2023,13.87239286,-3.819552428,0.000837443
303,DAP,4/25/2023,18.70104764,4.151494594,-0.001639556
401,DAP,4/25/2023,17.07256474,4.64375884,0.000751489
502,DAP,4/25/2023,17.31930841,-0.06271004,-0.000272377
602,DAP,4/25/2023,56.9115854,13.03741726,0.001304876
101,Struvite,4/3/2023,27.31259291,-6.224095618,-0.000444508
203,Struvite,4/3/2023,34.98699251,0.573362688,-0.004969951
304,Struvite,4/3/2023,18.13833987,1.772316378,0.000846985
403,Struvite,4/3/2023,34.98699251,0.573362688,-0.004969951
503,Struvite,4/3/2023,34.98699251,0.573362688,-0.004969951
601,Struvite,4/3/2023,27.31259291,-6.224095618,-0.000444508
101,Struvite,4/10/2023,27.00930314,-31.97238211,-0.007389039
203,Struvite,4/10/2023,27.87448242,3.123236822,-0.002465809
304,Struvite,4/10/2023,40.29094916,-0.517963981,-0.003526637
403,Struvite,4/10/2023,27.61250467,-4.854094667,-0.002165353
503,Struvite,4/10/2023,16.18883714,-0.641058461,-0.003110752
601,Struvite,4/10/2023,79.7435378,45.62935902,0.032911141
101,Struvite,4/17/2023,4.109389793,-4.077268887,-0.004491742
203,Struvite,4/17/2023,9.456231965,2.233447678,-0.000919498
304,Struvite,4/17/2023,34.05641372,-1.854408783,-0.002477777
403,Struvite,4/17/2023,11.79742577,0.63336576,5.96E-05
503,Struvite,4/17/2023,30.0437177,-0.980050175,0.002154992
601,Struvite,4/17/2023,38.39209986,11.66920677,0.029250597
101,Struvite,4/25/2023,24.1002983,-3.472920317,0.007679781
203,Struvite,4/25/2023,35.82923735,-8.967125753,0.000653232
304,Struvite,4/25/2023,43.65455729,-7.769459722,0.000473838
403,Struvite,4/25/2023,21.29827078,3.538642705,0.001986634
503,Struvite,4/25/2023,34.78271431,-1.646750975,-0.002357023
601,Struvite,4/25/2023,45.78126851,17.1877428,0.01219573
102,Synchro,4/3/2023,30.87279895,4.042707229,0.006127425
204,Synchro,4/3/2023,18.13833987,1.772316378,0.000846985
301,Synchro,4/3/2023,27.31259291,-6.224095618,-0.000444508
402,Synchro,4/3/2023,30.87279895,4.042707229,0.006127425
504,Synchro,4/3/2023,18.13833987,1.772316378,0.000846985
603,Synchro,4/3/2023,34.98699251,0.573362688,-0.004969951
102,Synchro,4/10/2023,1.650018206,0.706693909,-0.001315595
204,Synchro,4/10/2023,22.93112564,-3.523132365,-0.001174723
301,Synchro,4/10/2023,59.99604726,0.636997286,-0.002436199
402,Synchro,4/10/2023,23.31848616,-4.720136453,-0.006348965
504,Synchro,4/10/2023,19.92522704,-0.149036806,-0.00100197
603,Synchro,4/10/2023,5.957577326,4.697676403,-0.001963322
102,Synchro,4/17/2023,4.109389793,-4.044797563,-0.00445597
204,Synchro,4/17/2023,21.26853542,-1.651620998,-0.001544909
301,Synchro,4/17/2023,23.63942846,-2.27568496,-0.000734298
402,Synchro,4/17/2023,25.53234756,0.634336171,-0.002706715
504,Synchro,4/17/2023,25.07690838,0.100172279,0.001298118
603,Synchro,4/17/2023,5.459002871,3.780352272,0.001816671
102,Synchro,4/25/2023,17.92597554,1.85099134,-0.003379374
204,Synchro,4/25/2023,30.09159424,-3.77331874,0.003020058
301,Synchro,4/25/2023,40.48470058,-5.398430434,-0.001091869
402,Synchro,4/25/2023,32.52751388,0.188130119,-0.001931976
504,Synchro,4/25/2023,28.96972735,-1.592983566,-3.21E-05
603,Synchro,4/25/2023,8.191947655,10.83388799,0.000510257
